ALL VALUES ARE ARE LOG(2) [EXPRESSION RATIOS] 					Experimental treatment:	15 microg/ml Nor, 2 min	15 microg/ml Nor, 5 min	15 microg/ml Nor, 10 min	15microg/ml Nor, 20 min	15 microg/ml Nor, 30 min	50 microg/ml Nor, 2 min	50 microg/ml Nor, 5 min	50 microg/ml Nor, 10 min	50 microg/ml Nor, 20 min	50 microg/ml Nor, 30 min	42º C, 2 min	42º C, 5 min	42º C, 10 min	42º C, 20 min	42º C, 2 min	42º C, 5 min	42º C, 10 min	42º C, 20 min	15 microg/ml Nor, 2 min	15 microg/ml Nor, 3 min	15 microg/ml Nor, 4 min	15 microg/ml Nor, 5 min	15 microg/ml Nor, 7 min	15 microg/ml Nor, 10 min	15 microg/ml Nor, 15 min	15 microg/ml Nor, 20 min	15 microg/ml Nor, 30 min	50 microg/ml Nor, 2 min	50 microg/ml Nor, 5 min	50 microg/ml Nor, 10 min	50 microg/ml Nor, 20 min	50 microg/ml Nor, 30 min	20 microg/ml Novo, 5 min	50 microg/ml Novo, 5 min	200 microg/ml Novo, 5 min
ybgC 	b0736	orf,_hypothetical_protein	-0.485572818	0.322	-1.6348674065	0.05658	0.01436	-0.02915	-0.6215	-0.7859	0.1243	0.01436	0.1635	-0.2688	-0.2345	-0.1047	-0.454	-0.811	0.5261	-1.515	-1.889	-0.7612	-0.4941	-0.7131	-1.0002	-1.089	-0.7612	-0.4437	-0.1681	-0.20122	-0.811	-0.152	-0.3771	-0.5353	-0.2515	-0.454	-0.6439	-1.556	-1.837	-2.837
tolQ 	b0737	inner_membrane_protein,_membrane-spanning,_maintains_integrity_of_cell_envelope;_tolerance_to_group_A_colicins	-0.5353691062	0.134125	-2.8983499239	-0.3771	0.1506	-0.02915	-0.4344	-0.737	0.05658	0.05658	0.07039	-0.2863	-0.2515	0.04264	-0.4941	0.09761	-0.04394	-1.474	-1.396	-0.811	-0.7612	-0.5353	-0.2586	-0.889	-0.7859	-0.75035	-0.415	-0.7861	-0.8625	-0.34485	-0.3959	-0.5778	0.111	-0.2345	-0.5146	-1.69	-1.943	-2.737
tolR 	b0738	putative_inner_membrane_protein,_involved_in_the_tonB-independent_uptake_of_group_A_colicins	-0.7493916582	0.000125	-12.9657842847	-0.2009	0.263	0.2141	-0.5778	-0.6666	-0.08927	-0.1681	-0.1203	-0.3959	-0.3771	0.04264	-0.3959	-0.1203	-0.304	-1.252	-1.474	-0.6666	-0.415	-1.059	-1.4745	-1.152	-1.599	-1.1815	-0.4344	-1.12	-1.943	-0.576	-1	-1.252	-0.3959	-1.252	-1.396	-1.515	-2.252	-2.474
tolA 	b0739	membrane_spanning_protein,_required_for_outer_membrane_integrity	-0.563864397	0.002	-8.9657842847	0.01436	0.1763	0.1763	-0.3771	-0.6897	-0.04394	-0.2515	0	-0.5564	-0.3959	-0.9159	-0.1047	-0.2009	-0.05889	-1.644	-1.889	-0.9434	-0.9714	-1	-2.253	-2.396	-1.556	-1.5615	-0.6666	-1.4785	-2.252	-1.06	-1.152	-1.089	-0.1681	-0.3585	-0.152	-1.286	-1.889	-0.5564
tolB 	b0740	periplasmic_protein_involved_in_the_tonb-independent_uptake_of_group_A_colicins	-0.732338952	0.004625	-7.756330919	0.2388	0.433	0.1506	-0.074	0.02857	-0.02915	0.02857	-0.02915	0.04264	0.1506	-0.5564	-0.415	0.05658	-0.074	-0.3585	-0.9159	-0.5778	-0.4941	0.4854	-1.515	-1.059	-0.152	-1.572	-0.5778	-1.5475	-1.556	-0.8685	-1.12	-1.556	-1.029	-1.786	-1.943	0.1506	-0.4941	-0.5146
pal 	b0741	peptidoglycan-associated_lipoprotein	-0.6116382593	0.320625	-1.6410411742	0.3448	0.7137	0.6599	0.2265	0.5261	0.5945	0.3674	0.5656	0.3561	0.6135	-0.7859	-0.454	-0.2176	-0.0145	-0.1681	-0.9714	-0.6897	-0.2515	0.6323	-0.41555	-0.1681	0.111	-0.6987	-0.4344	-0.94575	-1	-0.717	0.05658	-0.152	-0.3585	-1.184	-1.556	0.09761	0.3561	-0.1203
ybgF 	b0742	orf,_hypothetical_protein	-0.6667160774	0.144125	-2.794607487	0.5059	0.5361	0.3103	0	0.01436	0.09761	-0.0145	0.07039	-0.101682	0.07039	-1.152	-0.8625	0.02857	-0.08927	-0.5564	-1.786	-0.415	-0.3219	0.263	-0.73695	-0.7859	-0.3959	-1.4255	-0.6439	-1.8375	-1.434	-0.9715	-0.1681	-0.889	-0.9434	-1.943	-2.644	-0.2176	-0.1361	-0.889
nadA 	b0750	quinolinate_synthetase,_A_protein	-0.3274837116	1	0	-0.2176	-0.1047	0.2388	0.05658	0.4222	0.07039	-0.1203	-0.1844	-0.0145	0.3103	-0.3219	0.1763	0.09761	0.04264	0.09761	-0.3401	-0.7131	-1.12	0.5558	-0.8625	-0.6897	0.2016	-0.4941	-0.2688	-0.2009	0.3448	-0.076	-0.02915	0.6599	0	0.4222	0.6041	-1.599	-1.737	-4.322
pnuC 	b0751	required_for_NMN_transport	-0.1157877605	1	0	0.1243	-0.415	0.1506	0.4005	0.7824	-0.4344	0.1375	-0.1047	-0.1203	0.3103	-0.4344	0.2016	-0.074	0.4222	0.4222	-1.059	-0.5995	-0.454	0.08406	0.2016	-0.1844	0.7312	0.28095	-0.0145	0.3141	0.8156	0.3699	1.021	0.2987	0.2016	0	0.04264	-2.184	-2.252	0.04264
ybgR 	b0752	putative_transport_system_permease_protein	0.2792225054	1	0	-0.05889	-0.811	0.1375	-0.02915	0.6599	-1	-0.5995	-0.6439	-0.3401	-0.3401	-0.7612	0.263	-0.454	0.2141	0.6871	-1.089	-0.7131	-0.1203	-1.943	-0.02197	0.3334	-0.0145	0.026055	-0.074	0.1692	-0.3585	0.04203	1.669	0.6323	1.832	1.214	0.9928	-1.089	-2.396	1.782
b0753 	b0753	putative_homeobox_protein	0.1073009075	1	0	-0.4739	-0.8365	0	-0.2515	1.208	-0.811	-0.304	-0.4739	-0.3771	-0.152	0.2141	0.6415	-0.3959	-0.2863	2.345	-0.3771	-0.4739	-0.4344	0.04264	0.30955	0.1243	0.02857	0.11078	0.01436	0.29475	0	-0.31075	0.7225	0.263	0.04264	-0.1844	-0.5353	0.3219	0.7225	-0.6666
aroG 	b0754	3-deoxy-D-arabinoheptulosonate-7-phosphate_synthase_(DAHP_synthetase,_phenylalanine_repressible)	-0.2474851354	1	0	0.01436	-0.2345	-0.2515	0.8074	1.251	-0.2009	-0.415	-0.5146	-0.2009	0.1635	-0.5146	-0.3771	-0.6439	-0.3219	-1.599	-1.358	-1.786	-2	-0.1361	-0.1844	-0.3585	-0.9714	-0.2971	-0.889	-0.11308	-0.3401	-0.34485	0.9486	0.9184	0.6229	0.8074	0.9928	-1.786	-2.644	-3.837
gpmA 	b0755	phosphoglyceromutase_1	-0.7191763959	0.008125	-6.9434164716	0.6781	0.7225	0.3561	0.4647	0.9855	0.3674	0.1375	0	0.1243	0.1506	-0.7859	-0.5353	0.111	0.02857	-1.029	-1.358	-1.358	-2.184	0.3785	-0.32647	-0.6439	-0.1203	-1.0145	-0.5353	-1.52	-1.12	-0.4857	0.3674	-0.4941	-0.3219	-0.8365	-1.029	-0.8365	-1.184	-1.556
galM 	b0756	galactose-1-epimerase_(mutarotase)	-0.2934275404	1	0	0.2265	0.3674	-0.2688	0.3334	-0.02915	0.3785	0.05658	0.04264	0.4222	0	-0.1047	0.02857	0.4542	-0.4941	0.5059	-0.5146	0.251	0.516	0.07039	-0.145085	0.08406	-0.0145	-0.27755	-0.737	-0.34425	0.1506	-0.037	-0.1361	-0.1681	0.2869	-0.3585	-0.8625	0.8319	0.07039	-0.1361
galK 	b0757	galactokinase	-0.3199282962	1	0	0.5558	0.5753	0.111	0.3334	0.09761	0.6229	0.1243	0.2016	0.7908	0.2388	0.09761	-0.1047	0.263	-0.1203	1.922	1.094556	1.491	0.3561	0.3448	0.4572	0.7049	0.2265	0.28645	0.189	0.45935	0.4542	-0.029445	-0.1844	-0.2688	-0.2176	-1.089	-1.396	-0.3771	-0.2009	-0.5778
galT 	b0758	galactose-1-phosphate_uridylyltransferase	0.499298034	0.663875	-0.5910164706	0.9336	0.251	-0.304	0.433	-1.286	0.1506	0.189	-0.1203	0.546	-0.5995	-0.7612	-0.6215	-1	-1.218	-0.1361	-0.04394	0.8319	0.5059	1.064	0.60665	0.669	0.6135	0	0.01436	0.20155	1.787	0.18925	0.02857	0.1506	0.3896	-0.04394	-0.02915	1.401	1.401	0.903
galE 	b0759	UDP-galactose-4-epimerase	0.3460299569	0.82775	-0.2727329893	-0.074	-0.08927	-0.3959	0.07039	-1.599	0.5059	0.4647	0.2388	0.7049	-0.5564	-0.415	-0.737	-0.4739	-0.0145	0.111	0.5945	0.8074	1.157	1.428	1.02585	1.029	0.856	-0.036545	0.2265	0.06215	2.516	0.30205	0.3334	-0.3219	0.1506	-0.3585	-0.6897	1.157	0.6599	0.02857
modF 	b0760	ATP-binding_component_of_molybdate_transport_system	-0.5238880943	0.522625	-0.9361519566	-0.7859	-0.1844	-0.3585	0.09761	0.856	-0.3401	-0.2515	-0.1844	0.433	0.6508	-0.3219	0.111	0.4751	0.111	-0.454	0.111	0.01436	-0.074	-0.5995	-0.73615	-0.6897	-0.5995	-0.60215	-0.5778	-0.82375	0.09761	-0.16095	-1.059	-0.9434	-0.7612	-0.2345	0.1243	-2.184	-1.69	-2.556
modE 	b0761	molybdate_uptake_regulatory_protein	-0.3287177556	0.9965	-0.0050582898	-0.074	0.3219	0.1635	0.1635	-0.02915	0.1506	0.2388	0.2265	0.275	0.3334	0.5558	-0.2688	-0.1203	-0.0145	-0.304	-0.3771	-0.2688	-0.3771	-0.1361	-0.6785	-0.6215	-0.2688	-0.544	-0.3585	-0.408	0.2141	0.06875	0.251	0.8875	0.6415	0.7908	0.251	-0.6666	-1.059	-1.889
b0762 	b0762	orf,_hypothetical_protein	-0.2971213685	1	0	0.1635	0.3448	-0.074	0.275	0.02857	0.9928	0.251	0.3103	0.2016	2.441	0.249728	0.2141	-0.8625	0.364815	0.696	1.151	0.269374	0.8797	0.2388	0.2353	-0.0145	0	0.73725	0.8074	0.634	0.05658	-0.029445	-2	1.057	-0.3771	-0.0145	-0.9434	-3.322	-2.322	-1.690185
modA 	b0763	molybdate-binding_periplasmic_protein;_permease	-0.5393587748	0.088	-3.506352666	0.1635	0.04264	-0.152	0.3103	0.2016	0.3674	0.251	-0.0145	0.3219	-0.1681	0.4647	0.01436	-0.2515	-0.4739	-0.2863	-0.811	-1.218	-1.644	-0.3401	-0.5477	-0.415	-1.029	-0.13068	-1.12	-0.133	-0.737	-0.717	-0.454	-0.0145	0.669	-0.074	0.111	-0.9159	-1.358	-1.943
modB 	b0764	molybdate_transport_permease_protein	-0.4399570702	0.6385	-0.647241475	-0.2515	-0.2863	-0.3401	0.2388	0.189	0.1375	-0.1203	-0.3401	-0.04394	-0.3401	0.3103	0.05658	-0.05889	-0.5995	-0.02915	-0.6897	-0.8625	-0.9714	-0.4739	-0.85655	-0.8365	-1.286	-0.3517	-0.6666	0.03423	-0.4941	-0.24705	-0.2515	-0.415	0.4005	0.433	-0.4344	-0.9159	-1.396	-1.474
modC 	b0765	ATP-binding_component_of_molybdate_transport	-0.3388585348	0.9965	-0.0050582898	-0.2863	-0.02915	-0.415	0.111	0.08406	-0.0145	-0.1047	-0.1203	-0.3219	-0.5995	0.3103	0.263	0.433	0.04264	0.1243	-0.304	-0.4344	-0.4941	-0.3585	-1.00245	-0.5564	-1.059	-0.4171	-0.889	-0.172595	-0.5353	-0.32195	-0.1203	-0.2688	1.029	0.669	0.1243	-1.029	-1.599	-1.737
ybhA 	b0766	putative_phosphatase	-0.3074950892	0.994125	-0.0085008291	0.1506	0.3219	-0.08927	-0.2863	-0.4344	-0.2688	-0.304	0	-0.2688	-0.5353	-0.1681	-0.6666	-0.3219	-0.3959	-1.12	-0.737	-0.1047	-0.02915	-0.4739	-0.9423	-0.9434	-1.434	-1.0295	-0.9714	-1.0002	-0.5146	-0.31075	-0.5146	-0.062126	0.6041	0.4005	0.3219	-1.152	-1.358	-2.252
ybhE 	b0767	putative_isomerase	-0.1131311749	1	0	0.2016	0.09761	-0.454	0.05658	0.07039	-0.1203	-0.2176	-0.4344	-0.04394	0.111	-1	-0.074	0.1243	-0.4739	-0.2176	-0.61112	0.4005	-0.5778	0.1506	-0.243015	0.07039	-0.02915	-0.13615	-0.2345	-0.1845	-0.5564	-0.4857	-0.5995	-0.1681	-0.4344	-0.5353	-0.889	0.3674	0.6508	0.2987
ybhD 	b0768	putative_transcriptional_regulator_LYSR-type	0.2549034041	1	0	0.09761	0.1375	-0.04394	0.5361	0.7225	-0.6215	-0.3585	-0.6666	-0.1681	-0.04394	0	0.696	1.799	0.5656	1.22	0.04264	1.043	1.014	0.433	-0.4857	0.005092	0.6508	-0.4857	0.7137	-0.4857	0.757	0.26805	-0.05889	0.4436	1.057	0.6599	0.7655	0.8237	1.227	0.9928
ybhH 	b0769	orf,_hypothetical_protein	0.623946239	0.04825	-4.3733272474	-0.5146	-0.2688	-0.2176	-0.4941	-0.04394	-0.889	-0.2009	-3.644	-1.286	-1.396	0.3448	1.489713	-0.3219	-0.889	1.828	1.270468	1.459	0.5261	0.516	0.67745	0.2869	0.6229	0.7068	0	0.7513	0.4751	0.34355	1.642	3.142	1.417	1.239	0.84	1.727	1.84	0.5753
ybhI 	b0770	putative_membrane_pump_protein	0.285559595	1	0	0.08406	-0.1361	0.111	-0.04394	-0.02915	-0.7612	-0.9714	-0.4344	-0.6897	-0.1203	0	0.84	0.4957	0.6041	0.2141	1.460727	0.9709	0.2388	-0.152	0.3593	0.1506	0.111	0.5456	0.3219	0.5998	0.05658	-0.05235	-0.3585	0.6041	0.7908	1.189	1.057	-0.7131	-0.737	-0.6897
ybhJ 	b0771	putative_enzyme	-0.0198164534	1	0	0.1243	0.09761	-0.1203	0.1635	-0.2515	-0.318049	-0.6439	-0.6897	-0.737	-0.6666	-0.7131	2.138	1.727	-0.737	-3.837	1.438	0.3334	0.5059	-0.2863	0.82965	0.2388	0.2869	0.6386	0.6041	0.7936	0.3785	0	-0.9714	-2.474	0.08406	-0.415	-0.2515	-2.322	-0.2345	-0.04394
ybhC 	b0772	putative_pectinesterase	-0.7000884631	0.036375	-4.7809089418	0.08406	0.1763	-0.152	-0.5146	-1.218	-0.02915	-0.1203	-0.0145	-0.2345	-0.415	0.6415	0.05658	0.04264	0.696	-0.415	-0.8625	-0.3219	-0.2515	-0.2515	-1.20925	-1.089	-1.218	-1.4785	-1.515	-1.948	-0.6897	-0.5	-0.3219	-0.1844	-0.737	-0.9434	-0.9159	-1.152	-1.515	-2
ybhB 	b0773	orf,_hypothetical_protein	-0.1240857432	1	0	-0.3771	-0.304	-0.5353	0.04264	-0.08927	0.2016	0.251	0.1506	0.2388	0.2388	1.036	0.3674	0.5261	1.384	0.6323	0.8639	0.7908	1	0.4751	0.6212	0.4222	0.3896	0.7922	-0.1361	0.51475	0.3219	0.2218	0.111	-0.3585	-0.2515	-0.2176	0.2388	-0.4344	-0.3219	-0.889
bioA 	b0774	7,8-diaminopelargonic_acid_synthetase	0.0230522378	1	0	-0.2515	-0.5353	-0.1047	-0.3771	0.04264	-0.1203	0.01436	0.111	-0.2009	0.3219	-0.6897	-0.5353	-0.2863	-0.3401	-0.2863	-0.454	-0.3219	-0.0145	0.3334	-0.3516	-0.2009	-0.2515	-0.2515	0.2016	-0.2515	0.7312	0.48545	0.3103	-0.2176	0.05658	0.433	0.4222	0.111	-1.059	-2.225839
bioB 	b0775	biotin_synthesis,_sulfur_insertion?	-0.2949000453	1	0	-0.1203	-0.074	0.1763	-0.2515	0.1635	0.01436	-0.02915	-0.1361	0.2016	0.4957	-0.1681	-0.074	0.1763	0.01436	-0.1361	-0.7131	-0.1361	0.263	0.02857	-0.0145	0.04264	0.2016	-0.559075	0.1763	-0.9434	0.4542	0.5	-0.1844	0.1506	-0.0145	-0.1361	0.2265	-0.5564	-1.515	-1.396
bioF 	b0776	8-amino-7-oxononanoate_synthase	0.3736651522	1	0	-0.1681	-0.5995	0.189	0.4114	0.3219	0	0.111	0.263	0.2987	0.2388	-0.6897	-0.2345	-0.2345	0.4751	0.7137	-0.1844	0.111	0.2016	0.111	-0.28805	-0.3771	0.3334	-0.03103	0.02857	-0.02197	0.1635	0.23755	0.3103	-0.2688	1.07	0.8639	1.417	1.043	-0.074	1.322
bioC 	b0777	biotin_biosynthesis;_reaction_prior_to_pimeloyl_CoA	-0.2229811311	1	0	-0.074	-0.415	0.09761	-0.1844	0.2987	-0.05889	0.1635	0.111	0.3219	0.2141	-0.5564	0.04264	1.655	0.241702	0.192656	0.576399	0.110255	-1	0.4751	0.05745	-0.3219	0.4751	0.0753	0.2016	-0.08212	0.2869	0.30205	0.07039	0.3219	-0.1844	0.433	0.4854	-1.09087	-0.6666	-1.566608
bioD 	b0778	dethiobiotin_synthetase	0.5411265252	0.380375	-1.3945056661	-0.1203	-0.6897	0.546	0.3334	-0.2009	-0.304	-0.5146	-0.304	0.02857	-0.1681	-0.6439	-0.152	-0.6897	-0.4344	0.696	-0.009705	0.1506	0.1243	-0.05889	0.2165	-0.1203	0.2265	0.15705	0.433	0.2383	0.8237	0.4964	0.9184	1.091	0.2869	0.9486	0.9184	-0.7612	-0.2515	-0.2009
uvrB 	b0779	DNA_repair;_excision_nuclease_subunit_B	0.5329410771	0.96025	-0.0585180361	0.2141	0.4436	1.118	1.17	1.604	0.3674	0.7991	1.595	1.47	1.722	-0.074	-0.05889	-0.5146	-0.1681	0.3561	0.02857	0.2869	0.6781	0.5656	0.68365	0.774	2.195	2.0065	3.181	3.078	2.639	1.8875	0.9336	1.444	3.674	3.319	2.858	0.9561	0.7991	0.7824
ybhK 	b0780	putative_structural_protein	0.4192086657	1	0	-0.1844	0.08406	0.3896	0.08406	0.8156	-0.0145	0.09761	0.5558	0.1243	0.516	0.263	0.2016	0.4222	0.2141	-0.3959	-0.5353	-0.454	-0.3771	-0.1681	0.05745	-0.1844	0.9486	1.1889	2.66	2.4005	1.35	1.2595	0.1506	1.151	3.381	3.707	3.07	0.111	-0.2176	-0.7612
moaA 	b0781	molybdopterin_biosynthesis,_protein_A	-0.5407927325	0.094875	-3.3978282092	0.3785	0.4005	0.4222	0.3448	0.903	-0.3585	-0.304	-0.08927	-0.02915	0.2265	-0.454	-0.3219	0.263	-0.1047	-0.9714	-0.454	-0.02915	-0.5564	-1.644	-1.4555	-1.737	-1.599	-1.0457	-1.059	-0.29975	-1.322	-0.5445	0.111	-1.059	0.5361	0.1763	0.251	-2.059	-1.992967	-3.474
moaB 	b0782	molybdopterin_biosynthesis,_protein_B	-0.5811893275	0.460375	-1.1191186028	0.05658	0.2265	0.189	0.3334	0.7908	-0.3219	-0.2688	-0.4739	-0.074	-0.2176	0.3674	0.6135	0.7398	-0.3771	0.2869	-0.2345	0.3674	0.251	-0.4739	-0.67815	-0.6439	-1.434	-0.6215	-1.322	-0.15377	-1.556	-0.7575	-0.1361	-0.3585	0.09761	-0.1844	-0.4739	-0.4344	-0.7859	-2.059
moaC 	b0783	molybdopterin_biosynthesis,_protein_C	-0.5434321684	0.50075	-0.9978375788	0.2388	0.433	0.263	0.05658	0.6229	-0.5564	-0.5778	-0.3771	-0.304	-0.4344	-0.6439	-0.2515	-0.1361	0.2141	0.2016	-0.5778	-0.05889	-0.1361	-0.1203	-0.4442	-0.6439	-1.69	-0.304	-1.515	-0.0145	-0.8625	-0.5445	-1.059	-0.6897	-0.3959	-0.7612	-0.9434	-2.737	-2.085379	-2.059
moaD 	b0784	molybdopterin_biosynthesis	-0.2573065117	1	0	0.263	0.3896	0.02857	0.08406	0.111	-0.304	-0.1844	-0.4739	-0.2688	-0.2688	-0.6897	0.7137	-0.7131	-0.6897	0.433	0.3219	0.6041	0.2016	-0.0145	-0.60215	-0.3771	-0.3219	-0.05575	-0.7859	-0.4706	-0.1361	-0.35655	-0.1203	-0.3585	-0.2009	-0.304	-0.2515	-4.644	-1.403172	-2.018651
moaE 	b0785	molybdopterin_converting_factor,_subunit_2	-0.5485949759	0.722125	-0.4696795053	-0.3771	0.1375	-0.1361	0.3896	0.433	-0.2176	-0.454	-0.415	-0.2345	-0.3959	0.1375	0.1635	0.6135	1.077	0.4222	0.1243	0.3448	0.6323	-0.074	-0.94795	-1	-0.6897	-0.92245	-1.644	-0.6783	0	-0.7995	-0.6439	-0.6666	-0.4739	-0.304	-0.2515	-1.69	-1.396	-2.474
ybhL 	b0786	orf,_hypothetical_protein	-0.0432259127	1	0	-0.5564	-0.2863	-0.05889	-0.2688	0.3785	0.09761	-0.2009	-0.2345	-0.08927	-0.1844	0.4114	0.8237	1.05	0.5558	0.1763	0.111	0.2141	0.2265	0.2869	0.54095	0.1763	0.01436	0.6643	-0.3401	0.6624	-0.6439	-0.56	-0.304	-0.05889	0.4222	1.007	0.9782	-0.2345	-0.7612	-1.184
ybhM 	b0787	orf,_hypothetical_protein	0.2835285353	0.999	-0.0014434169	-0.5146	-0.3959	0	-0.2345	-0.1844	-0.811	-0.3585	-0.5564	-1.218	-0.8365	1.151	1.848	-0.05889	0.5059	1.411	1.057	1.836	1.036	0.2388	0.4895	0.3448	0.585	0.53565	0.2869	0.5255	0.2141	0.38275	0.856	0.9184	0.4854	1.47	0.7049	-0.1681	-0.3585	-1.837
ybhN 	b0788	orf,_hypothetical_protein	0.3385248473	0.9885	-0.0166871289	-0.2009	0.07039	0.1375	0.04264	0.2265	-0.2863	-0.2345	-0.1361	-0.4941	0.189	0.7312	1.287	0.4854	0.516	1.157	1.531	0.8237	0.7485	0.4114	0.74415	0.251	0.8156	0.8042	0.8718	0.8469	0.2388	0.1667	0.275	0.7398	0.7049	0.9561	1.35	-0.152	-0.1844	-0.5353
ybhO 	b0789	Cardiolipin_synthase_activity_	0.1866379642	1	0	-0.4739	-0.5995	-0.3219	-0.3959	0.2987	-0.2863	-0.6215	-0.2863	-0.4941	-0.04394	-0.454	-1.029	-0.9159	-1.218	0.6781	-0.8365	-0.9714	-0.5146	0.4005	-0.019245	-0.2515	0.3219	-0.28805	-0.1203	0.15665	0.4751	0.2779	1.22	1.516	1.339	1.74	1.556	-0.454	-1.434	-4.644
ybhP 	b0790	orf,_hypothetical_protein	0.3021426317	0.986	-0.0203404483	-0.4941	-0.3219	0.1506	-0.4739	-0.02915	-0.5995	-0.3585	-0.2688	-0.3585	-0.6439	0.516	-0.3771	0.4114	-0.1047	0.5558	0.4957	0.8875	0.4436	0.263	0.4432	0.04264	0.848	0.63215	0.3674	0.79445	0.1763	0.2165	0.3561	0.05658	0.4957	0.903	0.8074	-1.059	-1.163727	-1.474
ybhQ 	b0791	orf,_hypothetical_protein	-0.3216187059	1	0	-0.2345	-0.5353	-0.08927	-0.3401	-0.4344	-0.2515	-0.3771	-0.6439	0.2016	-0.2345	1.064	0.9635	1.057	0.263	-0.4739	-0.04394	0.1375	-0.02915	-0.2863	0.537905	-0.2515	-0.3959	0.6003	-0.5778	0.6863	-0.5564	-0.32195	-0.3771	-0.5995	-0.737	-0.6439	0.4957	-1.556	-1.396	-1.964511
ybhR 	b0792	orf,_hypothetical_protein	-0.2875651568	1	0	-0.2515	-0.454	-0.454	-0.074	-0.3771	-0.5353	-0.6215	-0.737	-0.02915	-0.3959	0.01436	0.7908	0.3561	0.2265	-0.7131	0.275	0.669	0.189	-0.6439	0.4657	0.1375	-1.286	0.39355	-1.69	0.57875	-1.184	-0.45795	-0.9159	-0.7859	-1.556	-0.8365	0.04264	-0.3959	-1.218	-1.184
ybhS 	b0793	orf,_hypothetical_protein	-0.1338030521	1	0	-0.0145	-0.5353	-0.05889	0.8639	0.6041	-0.5564	-0.7612	-0.737	0.01436	-0.3771	0.1506	0.9336	0.8156	0.251	0.306799	0.582035	0.7137	0.7655	-0.2515	0.21828	-0.0145	-0.6439	0.17283	-2.252	0.43805	-0.02915	-0.41825	-0.2863	-0.3771	-0.0145	0.1375	1.328	-1.737	-0.7612	-1.089
ybhF 	b0794	putative_ATP-binding_component_of_a_transport_system	-0.0510776487	1	0	-0.1047	-0.5564	-0.074	0.5945	0.84	-0.5778	-0.4941	-0.5353	0.6599	0.251	0.2869	0.669	0.04264	0.1506	-0.6215	-0.3401	-0.04394	0.3219	-0.304	0.0383	0.07039	-1	-0.001155	-1.434	0.0023	0.3448	-0.16095	-0.2515	0.2388	-0.3959	0.3561	1.157	1.696	-0.2009	-0.4739
b0795 	b0795	putative_membrane_protein	-0.2206678204	1	0	-0.074	-0.5564	-0.02915	0.8156	0.9486	-0.5353	-0.415	-0.4739	0.757	0.433	0.4542	1.084	-0.05889	0.8074	1.709	1.406	0.5059	0.5753	-0.889	-0.8365	-0.8625	-0.8625	-0.9434	-1.152	-0.406	0.3785	-0.16095	1.449	-0.3959	0.3448	0.3219	1.138	-0.454	-0.7859	-0.889
ybiH 	b0796	putative_transcriptional_regulator	-0.2871174572	1	0	-0.454	-0.3771	0	0.1635	0.4957	-0.889	-0.3219	-0.2009	0.6415	0.7137	1.395	0.7908	-0.3401	-0.2009	0.2869	0.275	0.546	0.04264	-0.6439	0.2008	0.2141	-0.2688	0.3152	-0.8365	0.2491	0.2388	0.10705	0.4114	0.3103	0.111	0.05658	0.3896	-1.556	-2.556	-3.837
rhlE 	b0797	putative_ATP-dependent_RNA_helicase	-0.5055363256	0.151375	-2.723801135	-0.3959	0.6781	0.5558	-0.9159	0.04264	0.5656	0.4005	0.856	-0.6215	-0.074	-0.5564	-0.737	-0.04394	-0.5778	-2.059	-1.059	-0.889	-0.811	-0.7859	-0.3772	-0.6666	-0.6666	-0.5784	-0.889	-0.43655	-0.9159	-0.4055	-1.184	-1	-1.644	-0.1681	0.05658	-1.184	-1.474	-1.322
ybiA 	b0798	orf,_hypothetical_protein	-0.1965689985	1	0	-0.5146	-0.1203	-0.2515	0.1375	-0.1681	-0.04394	0.189	0.189	0.3561	0.251	0.7225	0.09761	-0.3219	0.08406	0.3448	0.05658	0.433	0.3448	0.08406	0.4854	0.4222	0.07039	0.51095	0.04264	0.5419	0.09761	0.18925	-0.02915	0.07039	0.09761	0.251	-0.4739	-2.943	-1.54511	-2
dinG 	b0799	probably_ATP-dependent_helicase	-0.4461371155	0.956375	-0.0643516769	-0.074	0.02857	0.546	0.5261	0.1375	0.3219	0.4436	0.6599	0.9336	1.029	0.4542	-0.1361	-0.5353	-0.05889	1.269	-0.08927	-0.3771	-0.1047	-0.02915	-0.5896	-0.6666	-0.2009	-0.14482	-0.0145	-0.2943	0.4854	0.035195	-0.2863	0.05658	0.3103	0.1506	-0.1361	-0.9159	-0.2009	-0.9159
ybiC 	b0801	putative_dehydrogenase	-0.5550551557	0.565875	-0.8214446934	-0.05889	0.01436	-0.2345	0.433	1.007	0.05658	-0.0145	0.01436	0.433	0.7312	0.08406	0.7398	1.22	0.7991	-0.6215	-0.415	0.2141	-0.5353	0.3561	-0.1088	-0.2863	0.1243	-0.1617	-0.152	-0.66825	-0.454	-0.044635	0.5261	0.07039	0.3219	0.5059	0.1506	-0.6215	-1.152	-0.889
ybiJ 	b0802	orf,_hypothetical_protein	-0.3574538631	1	0	-0.04394	0.2016	-0.1844	-0.1681	0.2016	0.08406	0.1763	0.2016	-0.1203	-0.1203	2.322	1.694176	1.106412	3.615	1.195	2.043484	1.536	1.208	-0.02915	0.10947	0.02857	-0.1203	0.31615	0	0.3426	-0.1047	-0.41825	-1.252	-0.6215	-0.6897	-0.5995	-0.2688	-0.2863	0.02857	-0.144149
