ALL VALUES ARE ARE LOG(2) [EXPRESSION RATIOS] 					Experimental treatment:	15 microg/ml Nor, 2 min	15 microg/ml Nor, 5 min	15 microg/ml Nor, 10 min	15microg/ml Nor, 20 min	15 microg/ml Nor, 30 min	50 microg/ml Nor, 2 min	50 microg/ml Nor, 5 min	50 microg/ml Nor, 10 min	50 microg/ml Nor, 20 min	50 microg/ml Nor, 30 min	42º C, 2 min	42º C, 5 min	42º C, 10 min	42º C, 20 min	42º C, 2 min	42º C, 5 min	42º C, 10 min	42º C, 20 min	15 microg/ml Nor, 2 min	15 microg/ml Nor, 3 min	15 microg/ml Nor, 4 min	15 microg/ml Nor, 5 min	15 microg/ml Nor, 7 min	15 microg/ml Nor, 10 min	15 microg/ml Nor, 15 min	15 microg/ml Nor, 20 min	15 microg/ml Nor, 30 min	50 microg/ml Nor, 2 min	50 microg/ml Nor, 5 min	50 microg/ml Nor, 10 min	50 microg/ml Nor, 20 min	50 microg/ml Nor, 30 min	20 microg/ml Novo, 5 min	50 microg/ml Novo, 5 min	200 microg/ml Novo, 5 min
b1170 	b1170	putative_part_of_putative_ATP-binding_component_of_a_transport_system	0.858654567	0.000125	-12.9657842847	0.04264	0.1243	-0.02915	0.08406	0	-0.5778	-0.2345	-0.4739	-0.1844	0.07039	-0.5778	0.5261	-0.7131	-0.8625	1.151	2.223	1.632	1.7	1.367	1.631	1.744	2.417	2.1625	2.462	3.3575	1.872	0.9855	1.774	1.176	3.091	3.032	0.4222	1.803	2.575	2.791
b1983 	b1983	orf,_hypothetical_protein	0.879384773	0.000125	-12.9657842847	0.4005	0.5656	0	-0.1844	-0.415	0.04264	0.4005	0.263	-0.2515	0.1506	0.09761	0.6229	0.6041	-0.02915	1.449	2.18	2.242	1.632	1.907	2.0415	2.214	2.664	1.964	3.195	3.2815	2.651	1.2815	1.281	1.669	1.766	2.731	3.089	3.979	4.043	4.111
htrL 	b3618	involved_in_lipopolysaccharide_biosynthesis	0.899799858	0.000125	-12.9657842847	0.04264	0.7398	0.669	0.251	0.6781	0.1375	0.2388	0.2388	-0.2863	0.2869	1	0.4436	-0.0145	-0.1047	2.336	1.96	2.111	1.791	3.101	2.997	2.623	3.731	1.6764	3.941	3.3755	3.211	1.7185	2.039	2.711	3.426	3.782	3.074	2.975	3.747	3.857
yceC 	b1086	orf,_hypothetical_protein	-0.751138039	0.00025	-11.9657842847	-0.2515	0.1375	0	-0.2863	-0.8365	0.08406	0.111	-0.02915	-0.4941	-0.5778	0.2016	-0.1203	-0.3219	0.3674	-1.184	-1.029	-0.5778	-0.304	-1.556	-3.474	-2.837	-2.474	-2.87	-2.322	-2.5795	-1.889	-1.278	-1.152	-1.286	-1	-1.599	-0.9714	-1.69	-2.943	-4.322
glmU 	b3730	N-acetyl_glucosamine-1-phosphate_uridyltransferase	-0.749078934	0.00025	-11.9657842847	0.2388	0.4854	1.328	1.163	1.609	0.4957	0.5361	0.6135	0.7312	1.195	-0.811	-0.5353	-0.1844	-0.1361	-0.7859	-1.12	-0.7612	-0.737	-1.943	-0.35715	-1.218	-1.889	-0.1865	-1.737	-0.2573	-1.515	-0.2889	-1.556	-1.837	-1.252	-2	-0.6666	-1.322	-1.515	-2.252
pepN 	b0932	aminopeptidase_N	-0.793675963	0.00025	-11.9657842847	0.7049	0.4647	0.4436	1.556	0.9928	0.4436	0.433	0.189	1.438	0.903	-0.5146	-0.4739	-0.4344	0.1506	-1.218	-1.322	-0.6666	-1.396	-0.0145	-0.87305	-1.152	-0.9434	-2.1815	-1.556	-2.559	-1.943	-1.198	0.04264	-1.029	-1.434	-1.599	0.251	-1.12	-1.434	-2
murB 	b3972	UDP-N-acetylenolpyruvoylglucosamine_reductase	-0.670175171	0.00025	-11.9657842847	0.2987	0.5558	0.4436	0.2016	0.3103	-0.2176	-0.2863	-0.08927	-0.889	-0.9159	-0.4344	-0.8365	-0.3585	-0.1047	-2.737	-2.12	-2.556	-1.556	-1.218	-1.61	-1.69	-1.089	-1.00455	-1.69	-1.044	-2	-1.092	-2.474	-1.434	-1.737	-0.6439	-0.2345	-1.252	-2	-3.184
yraP 	b3150	putative_periplasmic_protein	-0.778952604	0.00025	-11.9657842847	0.1635	0.1506	0.01436	0.3334	0.2265	-0.1681	-0.1681	-0.2688	-0.0145	0.05658	0.856	0.7908	0.696	1.176	-0.08927	-0.437315	0.04264	-0.1203	-1.059	-1.01795	-1.184	-2.252	-0.97245	-2.396	-0.87575	-2.184	-1.198	-1.474	-0.6439	-1.515	-0.8365	-0.6897	-1.252	-1.474	-2.644
insB_6 	b3445	IS1_protein_InsB	-0.732787128	0.00025	-11.9657842847	0.2016	0.01436	-0.1047	0.4751	-0.2515	-0.08927	-0.02915	-0.2009	0.3674	0.2016	0	-0.04394	0.3448	-0.0145	-0.5778	-0.2009	0.189	-0.3219	-1.515	-1.396	-1.515	-2	-1.1705	-1.396	-0.65825	-1	-0.7995	-2.474	-2.556	-2.12	-1.556	-1.358	-0.5353	-0.5564	-1
rfe 	b3784	UDP-GlcNAc:undecaprenylphosphate_GlcNAc-1-phosphate_transferase;_synthesis_of_enterobacterial_common_antigen_(ECA)	-0.719488711	0.00025	-11.9657842847	0.08406	0.4854	0.251	0.05658	-0.1203	-0.05889	0.189	0.04264	-0.2863	-0.1361	-0.6897	-0.737	-0.2863	-0.889	-1.599	-0.9159	-0.811	-0.9714	-0.9159	-1.822	-1.252	-1.184	-1.4285	-1.089	-1.186	-0.2515	-0.4857	-2.556	-1.474	-1.943	-1.152	-0.9159	-1.218	-1.943	-2.184
xseA 	b2509	exonuclease_VII,_large_subunit	-0.762973737	0.00025	-11.9657842847	-0.05889	0.5059	0.6871	-0.3959	0.5059	0.2869	0.3561	0.4647	-0.2863	-0.1203	-0.1361	-0.5353	0.2869	-0.6439	-0.9714	-0.8625	-0.9434	-1	-0.5353	-0.83855	-0.6666	-0.737	-0.6372	-0.6215	-0.6785	-1	-0.2075	-1.644	-1.599	-1.786	-1.434	-0.6666	-1.152	-1.474	-1.837
insB_4 	b0988	IS1_protein_InsB	-0.679230366	0.00025	-11.9657842847	0.1635	-0.02915	-0.1844	0.4957	-0.1047	-0.2009	-0.0145	0.01436	0.2141	0.263	-0.2009	-0.1681	0.2265	-0.2009	-0.6897	-0.3771	-0.1681	-0.3771	-1.474	-0.6574	-0.889	-1.556	-0.49425	-1.474	-0.06087	-1.184	-0.5445	-1.286	-1.286	-0.6666	-0.8365	-0.4344	-0.5353	-0.5353	-1.059
fimC 	b4316	periplasmic_chaperone,_required_for_type_1_fimbriae	-0.809634921	0.000375	-11.3808217839	0.2987	0.4854	0.275	-0.811	-0.304	0.2016	0.3219	0.3448	-0.9159	-0.5353	-0.6215	-0.4344	-0.3585	0.02857	-1.184	-1.396	-0.811	-1.152	-0.5564	-1.4717	-2	-1.889	-2.359	-1.599	-2.161	-1.12	-0.24705	-1.184	-2.252	-2.943	-3.059	-2.737	-1.286	-0.8625	-2.332416
yidR 	b3689	orf,_hypothetical_protein	-0.753247017	0.0005	-10.9657842847	0.275	-0.08927	0.09761	1.299	1.356	0.01436	0	0.07039	0.5361	1.227	-0.889	-0.4941	0.2265	-0.074	-1.556	-0.644213	-0.9434	-0.9159	-1.286	-0.4162	-0.4941	-1.556	-0.58865	-1.786	-0.7577	-0.889	-0.679	-1.644	-1.786	-2.644	-1.786	-1.184	-2.556	-2.12	-1.434
yajK 	b0423	putative_oxidoreductase	-0.73483052	0.0005	-10.9657842847	0.05658	0.4542	0.1375	-0.9159	-1.152	0.1506	0.275	0.5945	-0.6215	-0.6439	-0.5353	-1.358	-0.737	-0.6666	-1.515	-2.943	-2.644	-2	-0.9159	-1.36	-1.515	-1.556	-1.35095	-2.184	-1.4185	-3.184	-1.5295	-1.837	-1.434	-2.396	-1.786	-1.184	-1.515	-1.599	-2.059
cpxR 	b3912	transcriptional_regulator_in_2-component_system	-0.769849017	0.0005	-10.9657842847	0.6135	0.275	0.8074	1.021	1.098	0.6871	0.4542	0.516	0.757	0.6041	-0.2345	0.08406	0.516	0.5261	-0.4739	-0.6439	-0.1361	-0.074	-0.2009	-0.4108	-0.2176	-0.7131	-0.22005	-1.218	-0.1681	-0.3401	-0.0922	0.07039	-0.1361	-0.7859	-0.737	-0.1047	-0.5778	-1.515	-2.252
panB 	b0134	3-methyl-2-oxobutanoate_hydroxymethyltransferase	-0.763061464	0.0005	-10.9657842847	0.111	0.6508	0.1635	0.4957	0.2388	0.2869	0.3785	0.3334	0.4957	0.5361	-0.1681	-0.3219	0.1375	-0.454	-0.454	-0.1203	-0.3219	-0.6897	-0.5353	-1.515	-1.089	-0.7612	-1.448	-0.6897	-1.474	-0.7131	-0.00725	-0.5778	-1.218	-0.9159	-1.515	-0.3771	0.04264	-0.6897	-0.737
pphB 	b2734	protein_phosphatase_2	0.744609422	0.0005	-10.9657842847	0.1635	0.189	-0.2009	-0.6897	-0.2345	-0.2688	-0.2009	-0.1681	-0.5778	-0.4739	-0.2515	0.9336	-0.0145	-0.1361	1.281	1.269	1.31	1.47	0.5059	0.63365	0.5558	1.014	0.6218	1.214	0.82525	0.6781	0.6285	0.2016	0.585	0.856	2.278	0.251	2.025	2.263	1.761
ybdN 	b0602	orf,_hypothetical_protein	0.790533684	0.0005	-10.9657842847	-0.2009	-0.9434	0.1506	0.2265	-0.02915	-0.2176	-0.3401	-0.152	-0.5778	-0.152	-0.04394	0.848	0.433	0.2265	1.245	1.537792	0.9486	0.7137	0.6508	0.5975	0.7485	0.9635	0.9536	1.356	1.0998	0.7991	0.2779	0.2987	1.077	1.566	1.646	2.138	1.922	2.759	2.043
agaR 	b3131	putative_DEOR-type_transcriptional_regulator_of_aga_operon	-0.771740057	0.000625	-10.6438561898	0.1243	0.3561	0.2388	0.4222	0.856	-0.1844	-0.0145	-0.3585	0.3334	0.6041	-0.4941	0.189	0.3219	-0.2863	-0.3959	-0.7612	-0.152	-0.2009	-0.1844	-2.34	-1.943	-1.12	-2.474	-1.556	-1.89	-0.8625	-0.626	-2.252	-0.8625	-2.059	-1.515	-0.889	-1.943	-2.556	-4.059
yrdD 	b3283	putative_DNA_topoisomerase	-0.786929623	0.000625	-10.6438561898	0.4436	0.2265	0.2987	0.6229	0.9336	0.07039	0.1506	-0.1203	0.8074	0.5261	-0.5564	-0.1681	0.251	-0.1047	-1.69	-0.304	-0.3585	-1.089	0	-0.6292	-0.7859	-1.396	-0.8489	-0.737	-0.8542	0.1243	-0.626	-2.184	-1.837	-2.943	-2.059	-2.12	-1.12	-1.943	-2.644
gmhA 	b0222	phosphoheptose_isomerase	-0.723691803	0.000625	-10.6438561898	0.263	0.2016	0.1763	0.7908	0.3561	0.251	0.2141	0.263	0.7398	0.7398	0.5261	0.3448	0.5059	-0.1203	-0.737	-0.5995	-0.304	-0.6897	-0.5146	-0.94855	-1.184	-1.474	-1.448	-2.322	-1.34	-1.69	-0.5445	0.3219	0.3334	0.05658	-0.2863	-0.2863	-2	-2.059	-2.396
minD 	b1175	cell_division_inhibitor,_a_membrane_ATPase,_activates_minC	-0.743047355	0.000625	-10.6438561898	0.2016	-0.1681	-0.4344	0.251	-0.02915	0.111	-0.04394	-0.5778	0.263	-0.2176	0.2869	-0.2009	-0.1047	0.2016	-0.4739	-0.8365	-0.9714	-1.152	-0.3219	-1.703	-1.786	-2.12	-2.3685	-2.396	-2.396	-2.12	-1.161	-0.3959	0.1506	-0.8365	-0.7612	-0.5564	-1.252	-2.252	-2.644
yhcB 	b3233	orf,_hypothetical_protein	-0.769712387	0.000625	-10.6438561898	0.3561	0.4114	-0.04394	0.6781	1.373	0.1375	0.2141	0.4957	0.7049	1.257	-0.1844	0.02857	0.07039	-0.2515	-1.322	-0.9434	-0.4344	-0.6439	-0.1047	-0.2689	-0.3219	-1.434	-0.24605	-0.4941	-0.1204	-0.152	-0.3333	-1.322	-1.184	-1.69	-1.286	-1.837	-1.029	-1.089	-1.286
mukE 	b0923	orf,_hypothetical_protein	-0.766471284	0.000625	-10.6438561898	-0.2009	0.08406	-0.1047	-0.1047	-0.152	0.111	-0.04394	-0.08927	0.2016	-0.152	0.5656	0.1506	0.433	-0.04394	-0.1844	-0.5146	-0.304	-0.4344	-0.304	-1.1835	-1.515	-1.69	-1.6055	-2	-1.476	-2.396	-0.9445	-0.2515	-0.7612	-0.1844	-0.6897	-0.9714	-1.737	-2.059	-2.474
ygdP 	b2830	putative_invasion_protein	-0.772471469	0.000625	-10.6438561898	-0.304	0.2141	-0.2176	-0.04394	0.02857	0.1506	0.04264	0.1375	0.3561	0.4751	0.1375	-0.454	-0.02915	0.3103	-1.059	-0.2515	-0.5778	-0.454	-0.5778	-1.0503	-1.358	-0.9714	-1.1425	-0.2863	-0.94775	-0.9159	-0.35655	-1.152	-2.059	-1.184	-2.644	-1.943	0.08406	-0.8365	-1.184
yjaD 	b3996	orf,_hypothetical_protein	-0.782083564	0.000625	-10.6438561898	0.2141	0.3103	-0.1047	0.4222	0.3219	0.20152	0.01436	0.516	0.1763	0.3448	-0.7131	-0.2009	-0.7131	0.4005	-0.2515	-1.149231	-0.3959	-0.2176	-0.304	-0.44985	-0.5353	-0.3959	-0.8625	-1.089	-0.49425	-1.059	-0.7995	-1.358	-1.434	-1	-1.059	-1	-1.556	-1.286	-1.322
gcpE 	b2515	orf,_hypothetical_protein	-0.805926388	0.000625	-10.6438561898	0.189	0.05658	0.3896	0.08406	-0.152	0.2869	0.251	0.4222	0.1763	0.2265	-0.4344	-0.7612	-0.2863	-0.3771	-0.7612	-1	-0.6215	-0.737	-0.1203	-0.974	-0.8365	-0.6666	-1.474	-0.6439	-1.63	-0.8625	-0.43125	-0.4739	-1.358	-0.8625	-1.358	-1.152	-0.4344	-0.6897	-0.9714
ybbK 	b0489	putative_protease	0.756270223	0.000625	-10.6438561898	0.3896	0.2388	-0.1203	-0.05889	0.3219	0	-0.0145	-0.1203	-0.152	-0.2345	0.4114	0.3103	-0.02915	-0.1844	0.263	0.8718	0.7485	0.6229	0.7225	0.203535	0.3785	1.077	0.9505	1.183	1.09	0.7655	0.6375	1.064	0.9184	2.23	1.84	1.551	0.696	0.7225	0.3103
mazG 	b2781	orf,_hypothetical_protein	0.779833411	0.000625	-10.6438561898	-0.0145	-0.3585	0.01436	-0.2176	0.09761	-0.454	-0.4344	-0.3771	-0.3585	-0.6439	-0.6666	-0.5353	-0.08927	0.7137	0.3219	0.843646	0.5656	0.4542	0.2869	0.1953	0.5558	0.2987	0.098815	0.4005	0.45865	0.7137	0.39955	0.5945	0.5656	1.35	0.7312	0.8319	1.144	1.604	0.9855
yagY 	b0292	orf,_hypothetical_protein	0.822778091	0.000625	-10.6438561898	-0.7612	-0.5778	-0.05889	-0.1361	-0.454	-0.152	-0.02915	-0.5146	-0.3771	-0.2515	-0.02915	0.1763	0.251	-0.5564	0.111	0.2016	0.3561	0.5753	0.251	0.60155	0.3219	0.9411	1.0654	0.7225	1.0735	0.774	0.29725	0.5059	0.6415	1.036	1.88	1.322	-0.2176	0.6229	0.5558
yabJ 	b0066	putative_ATP-binding_component_of_a_transport_system	0.794013162	0.000625	-10.6438561898	0	-0.3771	0.111	-0.3959	-0.5778	-0.4344	-0.5353	-0.2863	-1.059	-0.811	-0.8625	-1.69	-0.7612	0.8074	0.8237	-0.3771	1.163	1.183	0.275	0.5069	0.3785	0.6781	0.56615	1.07	0.51515	1.07	0.525	0.8237	0.5558	0.6871	0.7485	0.5059	0.5945	1.144	1.459
b2374 	b2374	putative_enzyme	0.775167904	0.000625	-10.6438561898	-0.040018	-0.889	-0.2345	-0.3401	-0.05889	-0.1681	0	0.251	-0.367697	-1.029	-0.2009	0.4647	-0.7131	-0.7859	1.014	1.753	0.5059	0.5361	0.546	0.2669	0.2016	0.5261	0.197985	0.757	0.7834	0.516	0.2218	1.799	1.239	1.683	2.124	2.094	1.57	2.17	2.874
dcuC 	b0621	transport_of_dicarboxylates	0.803662826	0.000625	-10.6438561898	-0.3771	0.2265	0.1243	-2.556	-0.05889	-0.5146	-0.3771	-0.4344	-0.9434	-1	-0.6666	-0.2688	-0.4941	-0.6215	1.036	1.35	0.1763	0.2388	0.3785	0.3508	0.1635	0.903	0.5209	0.7991	0.63685	0.774	0.34355	0.6871	0.7655	1.275	1.84	1.722	1.384	1.401	0.9411
yicH 	b3655	orf,_hypothetical_protein	-0.771772146	0.00075	-10.3808217839	0.3334	0.05658	-0.1361	1.036	1.774	-0.3959	-0.415	-0.2345	0.275	1.637	0.6229	0.1635	1.345	0.111	-1.218	-0.345794	-0.2688	-1.029	-1.286	-0.6785	-0.3219	-1.644	-0.25985	-1.889	-0.4093	-1.358	-0.7995	-1.515	-1.218	-2	-0.5564	-1.434	-1.396	-1.358	-2
metH 	b4019	B12-dependent_homocysteine-N5-methyltetrahydrofolate_transmethylase,_repressor_of_metE_and_metF	-0.802591028	0.00075	-10.3808217839	0.6041	0.516	0.1506	1.263	0.9855	0.2987	0.1763	0.1375	1.043	0.5656	-1.152	-0.454	-0.04394	-0.4344	-1.152	-1.300155	-0.7859	-1.943	-0.2345	-0.3542	-0.5778	-1.184	-0.44585	-1.599	-0.27775	-1.515	-1.092	-1.286	-1.358	-2.252	-2.322	-2.322	-0.9159	-1.059	-1.737
yafK 	b0224	orf,_hypothetical_protein	-0.651495748	0.00075	-10.3808217839	0.2869	0.4957	0.263	-0.5778	0.02857	-0.0145	-0.3959	-0.0145	-0.9714	-0.737	-0.6439	-0.7612	-0.4344	-0.811	-2.252	-1.474	-1.434	-1.889	-1.089	-1.8515	-2	-1.737	-1.4945	-1.029	-1.0162	-0.9159	-0.661	-3.644	-2.059	-2	-1.218	-1.089	-0.8625	-1.434	-2.252
tmk 	b1098	thymidylate_kinase	-0.747340224	0.00075	-10.3808217839	0.01436	0.04264	0.4114	-0.2009	-0.1361	0.2388	0.1375	0.189	-0.1844	-0.2176	0.433	0.251	0.516	0.4751	-0.2009	-0.415	-0.4344	0.1506	-0.5146	-0.8509	-0.6897	-1.152	-0.557	-1.644	-0.79845	-0.9714	-0.845	-0.7612	-1.737	-1.644	-1	-0.7612	-2.474	-2.396	-2.837
ycfD 	b1128	orf,_hypothetical_protein	-0.830709381	0.00075	-10.3808217839	0.2265	0.275	0.09761	-0.5353	-0.2688	-0.2009	0.02857	0.04264	-0.3585	-0.415	-0.2863	0.4436	0.5558	0.111	0.251	-0.962517	0.02857	-0.6666	-0.5146	-1.1147	-1.12	-0.889	-1.1755	-1.152	-0.9857	-1.089	-0.737	-1.059	-1.943	-1.184	-1.218	-1.184	-0.4344	-1.474	-1.786
insB_1 	b0021	IS1_protein_InsB	-0.695613598	0.000875	-10.1584293626	-0.1047	0.02857	0	0.4222	0	-0.0145	0.111	0.01436	0.5656	0.6041	0.275	-0.04394	0.5558	0.4005	-0.1361	0.2388	0.1635	-0.074	-1.322	-0.6927	-0.5995	-1.089	-0.52945	-1.252	-0.23455	-0.6666	-0.5	-1.434	-1.396	-1.059	-0.5778	-0.2515	-0.454	-0.7131	-0.7612
nhaA 	b0019	Na+/H_antiporter,_pH_dependent	0.678515821	0.000875	-10.1584293626	0.3561	0.3448	1	1.064	0.6871	0.6781	0.4436	0.6229	0.856	0.6229	0.2869	0.1635	-0.08927	-0.02915	1.7	0.6415	0.7137	1.007	1.718	1.357	1.714	2.359	1.1324	2.759	1.359	1.7	1.1725	1.48	1.856	1.491	1.195	1.345	1.604	1.57	0.7398
gadB 	b1493	glutamate_decarboxylase_isozyme	0.701197725	0.000875	-10.1584293626	-0.2688	-0.2515	-0.2345	-0.1047	0.546	-0.3219	-0.2009	-0.454	-0.1844	-0.152	0.4854	0.3448	-0.304	-0.2688	1.227	0.3785	0.111	-0.3219	1.428	0.4436	0.4957	2.901	0.757	2.328	0.7137	0.8074	0.3656	2.217	1.345	2.004	1.982	1.506	1.239	1.604	1.911
ilvB 	b3671	acetolactate_synthase_I,valine-sensitive,_large_subunit	-0.765492218	0.001	-9.9657842847	0.3785	-0.05889	0.5361	1.31	0.9782	0.2141	0.7485	0.585	1.511	1.82	-1	-2	-1.089	-0.5564	-1.396	-1.185521	-2	-1.69	-1.837	-1.519	-1.889	-2.059	-1.3745	-2.059	-1.501	-0.5146	-1.0295	-3.837	-2.059	-3.837	-2.644	-4.644	-3.059	-1.60093	-3.474
aer 	b3072	aerotaxis_sensor_receptor,_flavoprotein	-0.749448597	0.001	-9.9657842847	0.3334	-0.4739	-0.0145	0.8319	-1.184	0.4647	0.8639	-0.05889	1.036	-0.0145	-0.5564	-1.029	-1.184	-0.5353	-2.12	-2.252	-0.97537	-2	-0.5778	-1.921	-2.059	-2.837	-2.5445	-3.059	-2.359	-0.2176	-1.0295	-0.6666	-1.786	-1.059	-1.474	-1.889	-2.474	-3.059	-3.059
gsk 	b0477	inosine-guanosine_kinase	-0.752372511	0.001	-9.9657842847	-0.1361	0.189	0.3674	-1.089	-0.7612	0.07039	0.09761	0.09761	-1.322	-1.218	-0.7131	-0.7859	0.01436	-0.1047	-1	-2.322	-1.358	-0.8625	-0.9714	-2.237	-2.644	-1.434	-2.382	-1.556	-2.0045	-1.599	-0.3806	-1.358	-2	-1.69	-1.889	-2	-1.434	-1.644	-2.474
ytfB 	b4206	orf,_hypothetical_protein	-0.673693454	0.001	-9.9657842847	0.3219	0.2388	0.05658	0.3103	0.926	-0.074	-0.1361	-0.08927	0.3561	0.7908	-0.2009	0.1506	-0.2176	-0.08927	-0.9714	-0.5146	-0.3771	-0.811	-1	-1.2615	-1.252	-1	-0.69155	-1.12	-0.76455	-0.6666	-0.43125	-0.3585	0.01436	-0.1203	0.1763	-0.454	-0.8365	-0.6215	-1.396
ushA 	b0480	UDP-sugar_hydrolase_(5'-nucleotidase)	-0.767963904	0.001	-9.9657842847	0.2141	-0.1681	0.275	0.8074	0.4854	-0.02915	0.111	-0.05889	0.5361	0.7049	0.02857	0.433	0.275	0.6135	-0.3219	-0.0145	0.1763	-0.7131	-0.3771	-0.55065	-1.029	-0.9434	-0.8242	-1.322	-0.84225	-0.7612	-0.4055	-0.08927	-0.7131	-0.6439	-0.9434	-0.7612	0.2265	0.3561	-0.3585
yehP 	b2121	orf,_hypothetical_protein	0.768595806	0.001	-9.9657842847	-0.02915	-0.05889	0.1375	-0.152	0.02857	-0.2515	-0.1681	-0.1844	-0.04394	-0.304	0.1635	-0.1203	0.3561	-0.6215	0.6323	0.5361	0.8156	0.4436	0.3334	0.15979	0.7485	0.07039	0.69205	0.2388	0.50415	0.09761	0.048805	0.1763	0.3561	0.6599	0.4222	1.014	0.7225	0.9411	0.9107
hofQ 	b3391	putative_transport_portein	0.699633276	0.001	-9.9657842847	-0.1681	0	0.02857	0.3674	0	-0.1844	0.04264	-0.0145	0	-0.1681	0.5558	0.189	0.1635	0.111	1.104	0.4542	0.546	0.4114	0.7225	0.3444	0.07039	0.8074	0.5056	1.064	0.77825	0.8074	0.26805	0.696	1.111	1.35	1.043	1.036	0.1635	0.3448	0.546
gidA 	b3741	glucose-inhibited_division;_chromosome_replication?	0.690714072	0.001	-9.9657842847	0.3448	0.4751	-0.152	-0.5564	0	0.546	0.3896	-0.2176	-1.184	-0.8365	0.4222	-0.2009	-0.3771	-0.05889	1.208	0.926	1.057	0.926	1.599	0.77105	1.098	2.516	1.0975	2.508	0.7715	0.2016	0.3954	0.8797	0.84	1.176	0.7485	0.5261	1.774	2.257	2.433
ydaR 	b1356	orf,_hypothetical_protein	-0.741837046	0.001125	-9.7958592832	0.5945	0.5945	0.7225	0.546	0.8718	-0.1047	0.2987	0.189	0.2265	1.064	-0.5778	-0.4344	0.09761	-0.074	-1.837	-1.322	-0.7612	-1.152	-1.089	-1.239	-1.041892	-1.396	-1.322	-0.6666	-1.644	-0.5146	-0.26765	-1.786	-2.059	-2.252	-1.786	-2.184	-2.737	-2.033207	-6.644
bglF 	b3722	PTS_system_beta-glucosides,_enzyme_II,_cryptic	-0.619424391	0.001125	-9.7958592832	0.4854	0.4222	0.669	0.926	0.926	0.263	0.2016	0.3334	0.4005	0.4005	-0.05889	-0.6666	-0.152	-0.4344	-1.515	-1.837	-2.059	-1.599	-2.184	-0.40545	-0.2009	-1.943	-0.1682	-1.599	-0.01568	-1.515	-0.7575	-1.152	-0.401702	-0.3219	-0.3401	-0.3959	-2.943	-2.396	-2.979497
smg 	b3284	orf,_hypothetical_protein	-0.768742542	0.001125	-9.7958592832	0.4751	0.09761	0.1763	1.064	1	0.111	0.189	-0.05889	1.356	1.043	-0.4941	0.07039	0.251	0.1506	-1.184	-0.3401	-0.2176	-1.029	-0.2345	-0.33445	-0.5146	-1.218	-0.52525	-0.7612	-0.5468	0.3448	-0.679	-2	-1.889	-2.059	-0.9159	-1.556	-1.184	-1.889	-2.837
yraO 	b3149	orf,_hypothetical_protein	-0.725889942	0.001125	-9.7958592832	0.189	-0.1361	0.4222	0.02857	0.2388	-0.04394	-0.2863	-0.1844	0.05658	0.08406	-0.2863	0.1375	0.05658	0.4005	-0.2863	-0.848186	-0.04394	-0.2863	-1.152	-0.70255	-0.9434	-1.837	-0.60215	-2.184	-0.4829	-1.737	-0.592	-1.218	-1.474	-1.358	-1.556	-0.454	-2.059	-2.059	-3.837
ycfP 	b1108	orf,_hypothetical_protein	-0.761268063	0.001125	-9.7958592832	-0.1361	0.111	-0.05889	0.3785	0.3896	0.2265	-0.1203	0.05658	0.6041	0.275	0.7991	0.2265	0.2016	0.3785	-0.4344	-0.1361	-0.4739	-0.6666	-0.1361	-0.5147	-0.2863	-0.9434	-0.92245	-1.515	-1.387	-1.059	-0.56	-0.08927	-0.08927	0.111	-0.7131	-0.454	-1.029	-1.737	-2.322
gloB 	b0212	probable_hydroxyacylglutathione_hydrolase	-0.71724644	0.001125	-9.7958592832	-0.2863	0.111	-0.152	0.3103	0.585	0.2388	-0.02915	-0.1681	0.2869	0.189	0.3561	0.546	0.5753	0.09761	-0.6666	-0.3771	-0.3771	-0.415	0.09761	-0.5881	-0.9434	-0.5564	-0.7687	-1.286	-0.87575	-1.434	-0.822	-0.6897	-0.6897	-0.811	-0.3959	0.5059	-1.184	-1.599	-2.474
ytfM 	b4220	orf,_hypothetical_protein	-0.733361362	0.001125	-9.7958592832	0.1375	0.516	0.02857	0.1635	0.8237	-0.1203	-0.1361	-0.02915	0.111	0.2388	-0.304	-0.0145	0.3785	-0.2176	-0.4941	0.111	-0.152	-0.6897	-0.4941	-1.044	-0.7859	-0.5146	-0.7378	-0.5778	-0.6552	-1.089	-0.661	-1.644	-1.322	-2	-1	-0.8365	-0.04394	-0.454	-0.5995
caiE 	b0035	possible_synthesis_of_cofactor_for_carnitine_racemase_and_dehydratase	0.759286101	0.001125	-9.7958592832	-0.3401	-0.304	-0.2009	-0.6666	-0.3219	-0.2863	-0.3959	-0.5353	-0.5146	-0.6439	-0.6439	-0.3401	-1.252	0.07039	0.3334	-0.2009	0.04264	0.1243	0.4751	0.3212	0.1635	0.3103	0.1375	0.02857	0.29005	0.3103	-0.014575	-0.3585	0.4854	-0.2009	0.2869	0.4854	-0.0145	0.02857	0.4751
citC 	b0618	citrate_lyase_synthetase_(citrate_(pro-3S)-lyase_ligase	0.686875349	0.001125	-9.7958592832	-0.415	-0.2688	-0.3219	-0.2009	0.1635	-0.811	-0.5995	-0.415	-0.2176	0.2141	-0.04394	0.7225	-0.2009	-0.737	1.151	1.373	0.8953	0.903	0.516	-0.096985	-0.074	0.2869	0.221205	0.8639	0.268	0.84	0.28765	0.9184	0.7225	1.428	1.465	1.118	1.07	1.257	0.07039
